VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee
2,2025-01-01 09:44:22,2025-01-01 09:59:02,N,1.0,33,112,1.0,4.41,22.6,0.0,0.5,0.0,0.0,,1.0,24.1,2.0,1.0,0.0,0.0
2,2025-01-01 09:38:11,2025-01-01 10:00:13,N,1.0,119,237,1.0,7.46,31.7,0.0,0.5,0.0,0.0,,1.0,35.95,2.0,1.0,2.75,0.0
2,2025-01-01 09:43:34,2025-01-01 09:49:32,N,5.0,93,179,1.0,4.22,35.0,0.0,0.0,0.0,0.0,,1.0,36.0,1.0,2.0,0.0,0.0
2,2025-01-01 09:56:39,2025-01-01 10:19:04,N,1.0,7,246,1.0,5.77,28.2,0.0,0.5,6.49,0.0,,1.0,38.94,1.0,1.0,2.75,0.0
2,2025-01-01 10:57:00,2025-01-01 11:02:49,N,1.0,95,134,1.0,1.14,8.6,0.0,0.5,4.0,0.0,,1.0,14.1,1.0,1.0,0.0,0.0
2,2025-01-01 10:58:22,2025-01-01 11:06:13,N,1.0,83,226,1.0,1.17,9.3,0.0,0.5,0.0,0.0,,1.0,10.8,2.0,1.0,0.0,0.0
2,2025-01-01 06:28:49,2025-01-01 06:34:01,N,1.0,74,75,1.0,1.43,7.9,0.0,0.5,0.0,0.0,,1.0,9.4,2.0,1.0,0.0,0.0
2,2025-01-01 06:53:05,2025-01-01 06:58:51,N,1.0,74,43,1.0,1.53,9.3,0.0,0.5,1.62,0.0,,1.0,12.42,1.0,1.0,0.0,0.0
1,2025-01-01 10:17:37,2025-01-01 10:23:06,N,1.0,210,108,2.0,1.1,7.9,0.0,1.5,1.85,0.0,,1.0,11.25,1.0,1.0,0.0,0.0
2,2025-01-01 10:35:31,2025-01-01 10:41:34,N,1.0,74,75,1.0,1.53,9.3,0.0,0.5,0.0,0.0,,1.0,10.8,2.0,1.0,0.0,0.0
2,2025-01-01 10:31:30,2025-01-01 10:43:43,N,1.0,65,226,1.0,6.22,26.1,0.0,0.5,0.0,0.0,,1.0,27.6,2.0,1.0,0.0,0.0
2,2025-01-01 10:07:04,2025-01-01 10:16:04,N,1.0,95,95,1.0,0.77,9.3,0.0,0.5,2.16,0.0,,1.0,12.96,1.0,1.0,0.0,0.0
1,2025-01-01 10:26:42,2025-01-01 10:31:56,N,1.0,74,74,1.0,1.3,7.9,0.0,1.5,0.0,0.0,,1.0,9.4,2.0,1.0,0.0,0.0
1,2025-01-01 10:57:19,2025-01-01 11:03:06,N,1.0,74,75,1.0,1.4,8.6,0.0,1.5,2.5,0.0,,1.0,12.6,1.0,1.0,0.0,0.0
1,2025-01-01 10:47:37,2025-01-01 10:58:07,N,1.0,75,161,1.0,4.0,17.7,2.75,1.5,0.0,0.0,,1.0,21.95,2.0,1.0,2.75,0.0
2,2025-01-01 10:02:15,2025-01-01 10:13:47,N,1.0,112,193,1.0,2.74,15.6,0.0,0.5,1.0,0.0,,1.0,18.1,1.0,1.0,0.0,0.0
2,2025-01-01 10:51:34,2025-01-01 11:01:58,N,1.0,130,132,1.0,5.69,24.0,0.0,0.5,2.5,0.0,,1.0,28.0,1.0,1.0,0.0,0.0
2,2025-01-01 10:34:30,2025-01-01 10:41:46,N,1.0,74,41,1.0,1.39,9.3,0.0,0.5,0.0,0.0,,1.0,10.8,2.0,1.0,0.0,0.0
2,2025-01-01 10:56:47,2025-01-01 11:02:01,N,1.0,74,75,1.0,1.46,8.6,0.0,0.5,2.02,0.0,,1.0,12.12,1.0,1.0,0.0,0.0
2,2025-01-01 10:38:12,2025-01-01 10:40:23,N,1.0,65,65,1.0,0.25,4.4,0.0,0.5,5.1,0.0,,1.0,11.0,1.0,1.0,0.0,0.0
2,2025-01-01 10:47:19,2025-01-01 11:01:10,N,5.0,65,138,1.0,10.76,50.0,5.0,0.0,11.2,0.0,,1.0,67.2,1.0,2.0,0.0,0.0
2,2025-01-01 10:05:15,2025-01-01 10:10:57,N,1.0,166,166,1.0,1.08,7.9,0.0,0.5,0.94,0.0,,1.0,10.34,1.0,1.0,0.0,0.0
2,2025-01-01 10:27:13,2025-01-01 10:33:29,N,1.0,74,41,1.0,1.13,8.6,0.0,0.5,1.01,0.0,,1.0,11.11,1.0,1.0,0.0,0.0
1,2025-01-01 10:06:25,2025-01-01 10:46:20,N,1.0,222,48,1.0,0.0,65.5,0.0,1.5,0.0,0.0,,1.0,67.0,1.0,1.0,0.0,0.0
2,2025-01-01 09:32:53,2025-01-01 09:41:27,N,1.0,74,236,2.0,2.37,12.8,0.0,0.5,1.0,0.0,,1.0,18.05,1.0,1.0,2.75,0.0
2,2025-01-01 10:35:01,2025-01-01 10:45:09,N,1.0,95,135,1.0,1.93,12.1,0.0,0.5,3.4,0.0,,1.0,17.0,1.0,1.0,0.0,0.0
2,2025-01-01 10:26:02,2025-01-01 10:44:19,N,1.0,74,244,1.0,3.52,20.5,0.0,0.5,0.0,0.0,,1.0,22.0,2.0,1.0,0.0,0.0
2,2025-01-01 10:27:55,2025-01-01 10:39:29,N,1.0,130,10,1.0,2.27,12.8,0.0,0.5,2.86,0.0,,1.0,17.16,1.0,1.0,0.0,0.0
