,VendorID,PUDatetime,DODatetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,taxi_type,ehail_fee,trip_type,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
2933,2,2023-04-01 00:00:03,2023-04-01 00:18:52,1,2.6,1,N,148,186,1,18.4,1.0,0.5,4.21,0.0,1.0,27.61,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,,,,,,
33534,,2023-04-01 00:00:03,2023-04-01 00:16:30,,,,,197,205,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:37,2023-03-31 23:58:03,3.77,987.0,19.55,0.0,0.59,1.74,0.0,0.0,14.23,N,N, ,N,N
36129,,2023-04-01 00:00:03,2023-04-01 00:17:44,,,,,226,129,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:54:40,2023-03-31 23:58:03,2.95,1061.0,19.06,0.0,0.57,1.69,0.0,0.0,13.86,N,N, ,N,N
21841,,2023-04-01 00:00:03,2023-04-01 00:19:35,,,,,107,249,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:14,2023-03-31 23:58:36,2.63,1172.0,18.9,0.0,0.57,1.68,0.0,0.0,14.5,N,N, ,N,N
31162,,2023-04-01 00:00:03,2023-04-01 00:32:40,,,,,255,61,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:58:23,2023-03-31 23:59:50,6.28,1957.0,38.34,0.0,1.15,3.4,0.0,0.0,26.66,N,N, ,N,N
364,,2023-04-01 00:00:03,2023-04-01 00:31:53,,,,,143,87,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:35,2023-03-31 23:58:03,5.86,1910.0,29.38,0.0,0.88,2.61,0.0,0.0,28.05,N,N, ,N,N
24350,,2023-04-01 00:00:03,2023-04-01 00:25:20,,,,,148,145,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:30,2023-03-31 23:59:09,5.55,1517.0,70.2,0.0,2.11,6.23,0.0,0.0,48.6,N,N, ,N,N
35858,,2023-04-01 00:00:03,2023-04-01 00:31:17,,,,,106,198,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:55:54,,5.195,1874.0,26.64,0.0,0.8,2.37,0.0,5.96,24.4,N,N,N,N,N
3545,,2023-04-01 00:00:03,2023-04-01 00:26:53,,,,,80,75,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:57:22,,11.695,1610.0,34.03,3.45,0.88,2.62,0.0,8.2,30.45,N,N,N,N,N
19625,,2023-04-01 00:00:03,2023-04-01 00:17:12,,,,,23,265,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:47:31,,6.727,1029.0,26.27,20.0,1.39,0.0,0.0,0.0,19.94,N,N,N,N,N
3712,,2023-04-01 00:00:03,2023-04-01 00:08:40,,,,,249,13,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:53:51,2023-03-31 23:59:36,1.73,517.0,18.06,0.0,0.54,1.6,0.0,0.0,9.08,N,N, ,N,N
1011,,2023-04-01 00:00:04,2023-04-01 00:18:36,,,,,82,80,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:54:50,,5.984,1112.0,22.14,0.11,0.67,1.97,0.0,0.0,18.28,N,N,N,N,N
18820,,2023-04-01 00:00:04,2023-04-01 00:14:44,,,,,118,221,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:53:16,2023-03-31 23:58:25,4.35,880.0,19.62,0.0,0.59,1.74,0.0,0.0,14.51,N,N, ,N,N
12781,,2023-04-01 00:00:04,2023-04-01 00:18:30,,,,,234,13,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:18,2023-03-31 23:59:54,3.01,1106.0,17.19,0.0,0.52,1.53,0.0,0.0,18.45,N,N, ,N,N
30467,,2023-04-01 00:00:04,2023-04-01 00:32:00,,,,,144,95,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:52:59,2023-03-31 23:58:03,11.57,1916.0,53.53,0.0,1.61,4.75,0.0,9.29,33.22,N,N, ,N,N
2337,,2023-04-01 00:00:04,2023-04-01 00:20:16,,,,,79,68,,,,,,,,,0.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:53:02,2023-03-31 23:58:03,1.38,1212.0,20.97,0.0,0.63,1.86,0.0,4.84,8.75,Y,Y, ,N,N
4210,,2023-04-01 00:00:04,2023-04-01 00:06:24,,,,,17,49,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:51:46,,0.928,380.0,7.75,0.0,0.23,0.69,0.0,0.0,5.47,N,N,N,N,N
23616,,2023-04-01 00:00:04,2023-04-01 00:16:40,,,,,137,148,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:49,2023-03-31 23:58:03,2.98,996.0,12.63,0.0,0.54,1.59,0.0,0.0,13.28,N,N, ,N,N
1526,,2023-04-01 00:00:04,2023-04-01 00:14:20,,,,,168,248,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:57,2023-03-31 23:58:15,4.34,856.0,19.28,0.0,0.58,1.71,0.0,0.0,20.02,N,N, ,N,N
37821,,2023-04-01 00:00:04,2023-04-01 00:29:48,,,,,173,216,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:58:25,2023-03-31 23:59:42,8.59,1784.0,33.0,0.0,0.99,2.93,0.0,0.0,28.06,N,N, ,N,N
24723,,2023-04-01 00:00:04,2023-04-01 00:14:10,,,,,225,198,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:13,2023-03-31 23:59:56,2.23,846.0,15.18,0.0,0.46,1.35,0.0,0.0,16.84,N,N, ,N,N
35008,,2023-04-01 00:00:04,2023-04-01 00:12:37,,,,,37,198,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:57:49,,2.398,753.0,14.2,0.0,0.43,1.26,0.0,0.0,10.21,N,N,N,N,N
31750,,2023-04-01 00:00:05,2023-04-01 00:09:25,,,,,114,233,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:38,2023-03-31 23:59:40,1.99,560.0,17.55,0.0,0.53,1.56,0.0,0.0,13.83,N,N, ,N,N
36226,,2023-04-01 00:00:05,2023-04-01 00:17:02,,,,,169,126,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:55:29,,4.844,1017.0,17.8,0.0,0.53,1.58,0.0,0.0,15.89,N,N,N,N,N
