,VendorID,PUDatetime,DODatetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,type,airport_fee,Airport_fee
954,1,2023-01-01 00:02:42,2023-01-01 00:09:32,N,1.0,79,137,1.0,1.3,8.6,3.5,0.5,3.4,0.0,,1.0,17.0,1.0,,2.5,yellow_taxi,0.0,
976,1,2023-01-01 00:02:43,2023-01-01 00:08:33,N,1.0,238,24,1.0,0.9,6.5,3.5,0.5,5.0,0.0,,1.0,16.5,1.0,,2.5,yellow_taxi,0.0,
1541,2,2023-01-01 00:02:47,2023-01-01 00:24:12,N,1.0,236,126,1.0,6.03,27.5,1.0,0.5,0.0,0.0,,1.0,32.5,2.0,,2.5,yellow_taxi,0.0,
4487,1,2023-01-01 00:02:47,2023-01-01 00:24:21,N,1.0,138,144,1.0,9.1,38.0,9.75,0.5,9.85,0.0,,1.0,59.1,1.0,,2.5,yellow_taxi,1.25,
1274,2,2023-01-01 00:02:48,2023-01-01 00:14:13,N,1.0,79,144,1.0,1.38,11.4,1.0,0.5,3.28,0.0,,1.0,19.68,1.0,,2.5,yellow_taxi,0.0,
4351,2,2023-01-01 00:02:49,2023-01-01 00:38:56,N,1.0,246,14,2.0,13.4,56.9,1.0,0.5,0.0,0.0,,1.0,61.9,2.0,,2.5,yellow_taxi,0.0,
708,2,2023-01-01 00:02:49,2023-01-01 00:32:19,N,1.0,132,198,2.0,14.53,57.6,1.0,0.5,12.27,0.0,,1.0,73.62,1.0,,0.0,yellow_taxi,1.25,
4231,2,2023-01-01 00:02:50,2023-01-01 00:18:28,N,1.0,148,237,3.0,4.27,19.8,1.0,0.5,4.96,0.0,,1.0,29.76,1.0,,2.5,yellow_taxi,0.0,
3964,2,2023-01-01 00:02:53,2023-01-01 00:27:06,N,1.0,132,91,3.0,13.94,54.1,1.0,0.5,7.0,0.0,,1.0,64.85,1.0,,0.0,yellow_taxi,1.25,
3481,2,2023-01-01 00:02:59,2023-01-01 00:15:36,N,1.0,148,233,1.0,3.6,18.4,1.0,0.5,0.0,0.0,,1.0,23.4,1.0,,2.5,yellow_taxi,0.0,
1813,1,2023-01-01 00:02:59,2023-01-01 00:21:33,N,1.0,231,75,1.0,8.0,32.4,3.5,0.5,7.45,0.0,,1.0,44.85,1.0,,2.5,yellow_taxi,0.0,
1303,2,2023-01-01 00:02:59,2023-01-01 00:08:01,N,1.0,234,164,2.0,0.68,-7.2,-1.0,-0.5,0.0,0.0,,-1.0,-12.2,4.0,,-2.5,yellow_taxi,0.0,
1304,2,2023-01-01 00:02:59,2023-01-01 00:08:01,N,1.0,234,164,2.0,0.68,7.2,1.0,0.5,0.0,0.0,,1.0,12.2,4.0,,2.5,yellow_taxi,0.0,
1369,1,2023-01-01 00:03:00,2023-01-01 00:33:19,N,1.0,161,228,1.0,13.8,54.1,3.5,0.5,13.1,6.55,,1.0,78.75,1.0,,2.5,yellow_taxi,0.0,
4038,2,2023-01-01 00:03:01,2023-01-01 00:16:52,N,1.0,90,263,1.0,4.55,19.8,1.0,0.5,1.0,0.0,,1.0,25.8,1.0,,2.5,yellow_taxi,0.0,
3555,2,2023-01-01 00:03:01,2023-01-01 00:10:15,N,1.0,141,236,1.0,1.25,9.3,1.0,0.5,0.72,0.0,,1.0,15.02,1.0,,2.5,yellow_taxi,0.0,
3538,2,2023-01-01 00:03:02,2023-01-01 00:28:13,N,1.0,163,48,1.0,1.97,21.2,1.0,0.5,5.24,0.0,,1.0,31.44,1.0,,2.5,yellow_taxi,0.0,
2763,2,2023-01-01 00:03:03,2023-01-01 00:23:46,N,1.0,158,234,1.0,1.77,18.4,1.0,0.5,4.68,0.0,,1.0,28.08,1.0,,2.5,yellow_taxi,0.0,
4807,1,2023-01-01 00:03:04,2023-01-01 00:05:33,N,1.0,142,239,1.0,0.9,5.8,3.5,0.5,1.5,0.0,,1.0,12.3,1.0,,2.5,yellow_taxi,0.0,
3815,2,2023-01-01 00:03:04,2023-01-01 00:09:34,N,1.0,142,48,2.0,0.72,7.9,1.0,0.5,3.87,0.0,,1.0,16.77,1.0,,2.5,yellow_taxi,0.0,
843,2,2023-01-01 00:03:06,2023-01-01 00:12:32,N,1.0,79,211,1.0,1.63,11.4,1.0,0.5,3.28,0.0,,1.0,19.68,1.0,,2.5,yellow_taxi,0.0,
757,2,2023-01-01 00:03:07,2023-01-01 00:10:04,N,1.0,236,43,1.0,0.97,8.6,1.0,0.5,0.0,0.0,,1.0,13.6,2.0,,2.5,yellow_taxi,0.0,
2679,2,2023-01-01 00:03:08,2023-01-01 00:03:28,N,1.0,70,70,1.0,0.0,3.0,1.0,0.5,0.0,0.0,,1.0,5.5,2.0,,0.0,yellow_taxi,0.0,
1010,1,2023-01-01 00:03:08,2023-01-01 00:09:34,Y,1.0,237,142,1.0,0.9,7.2,3.5,0.5,2.4,0.0,,1.0,14.6,1.0,,2.5,yellow_taxi,0.0,
673,2,2023-01-01 00:03:09,2023-01-01 00:08:35,N,1.0,229,137,2.0,1.41,8.6,1.0,0.5,2.72,0.0,,1.0,16.32,1.0,,2.5,yellow_taxi,0.0,
646,2,2023-01-01 00:03:09,2023-01-01 00:25:22,N,1.0,249,239,1.0,4.69,26.1,1.0,0.5,9.33,0.0,,1.0,40.43,1.0,,2.5,yellow_taxi,0.0,
2717,1,2023-01-01 00:03:16,2023-01-01 00:09:13,N,1.0,188,189,1.0,1.4,7.9,1.0,0.5,0.0,0.0,,1.0,10.4,2.0,,0.0,yellow_taxi,0.0,
4673,2,2023-01-01 00:03:16,2023-01-01 00:12:49,N,1.0,132,218,1.0,3.26,17.0,1.0,0.5,0.0,0.0,,1.0,19.5,2.0,,0.0,yellow_taxi,0.0,
2303,2,2023-01-01 00:03:18,2023-01-01 00:09:24,N,1.0,249,246,2.0,1.19,8.6,1.0,0.5,0.0,0.0,,1.0,13.6,2.0,,2.5,yellow_taxi,0.0,
3494,2,2023-01-01 00:03:18,2023-01-01 00:28:50,N,2.0,132,232,1.0,18.01,70.0,0.0,0.5,13.54,0.0,,1.0,88.79,1.0,,2.5,yellow_taxi,1.25,
4368,1,2023-01-01 00:03:23,2023-01-01 00:16:55,N,1.0,79,209,1.0,3.4,17.0,3.5,0.5,4.4,0.0,,1.0,26.4,1.0,,2.5,yellow_taxi,0.0,
