,VendorID,PUDatetime,DODatetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,taxi_type,ehail_fee,trip_type,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,trip_time,bcf,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,DayOfWeek,is_holiday
36129,,2023-04-01 00:00:03,2023-04-01 00:17:44,,2.95,,,226,129,,19.07,,1.69,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:54:40,2023-03-31 23:58:03,1061.0,0.57,13.86,N,N, ,N,N,5,False
31162,,2023-04-01 00:00:03,2023-04-01 00:32:40,,6.28,,,255,61,,38.35,,3.4,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:58:23,2023-03-31 23:59:50,1957.0,1.15,26.65,N,N, ,N,N,5,False
21841,,2023-04-01 00:00:03,2023-04-01 00:19:35,,2.63,,,107,249,,18.9,,1.68,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:14,2023-03-31 23:58:36,1172.0,0.57,14.5,N,N, ,N,N,5,False
33534,,2023-04-01 00:00:03,2023-04-01 00:16:30,,3.77,,,197,205,,19.55,,1.74,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:37,2023-03-31 23:58:03,987.0,0.59,14.23,N,N, ,N,N,5,False
3545,,2023-04-01 00:00:03,2023-04-01 00:26:53,,11.697,,,80,75,,34.04,,2.62,8.2,3.45,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:57:22,,1610.0,0.88,30.45,N,N,N,N,N,5,False
2933,2.0,2023-04-01 00:00:03,2023-04-01 00:18:52,1.0,2.6,1.0,N,148,186,1.0,18.4,1.0,0.5,4.21,0.0,1.0,27.61,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,5,False
3712,,2023-04-01 00:00:03,2023-04-01 00:08:40,,1.73,,,249,13,,18.07,,1.6,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:53:51,2023-03-31 23:59:36,517.0,0.54,9.08,N,N, ,N,N,5,False
11825,,2023-04-01 00:00:03,2023-04-01 00:20:04,,3.997,,,261,50,,28.82,,2.56,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:56:32,,1201.0,0.86,16.51,N,N,N,N,N,5,False
25941,,2023-04-01 00:00:03,2023-04-01 00:12:23,,2.098,,,113,164,,28.38,,2.52,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:56:26,,740.0,0.85,17.29,N,N,N,N,N,5,False
2337,,2023-04-01 00:00:04,2023-04-01 00:20:16,,1.38,,,79,68,,20.97,,1.86,4.84,0.0,,,0.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:53:02,2023-03-31 23:58:03,1212.0,0.63,8.75,Y,Y, ,N,N,5,False
1011,,2023-04-01 00:00:04,2023-04-01 00:18:36,,5.984,,,82,80,,22.14,,1.97,0.0,0.11,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:54:50,,1112.0,0.67,18.28,N,N,N,N,N,5,False
23616,,2023-04-01 00:00:04,2023-04-01 00:16:40,,2.98,,,137,148,,12.63,,1.59,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:49,2023-03-31 23:58:03,996.0,0.54,13.28,N,N, ,N,N,5,False
37821,,2023-04-01 00:00:04,2023-04-01 00:29:48,,8.59,,,173,216,,33.0,,2.93,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:58:25,2023-03-31 23:59:42,1784.0,0.99,28.06,N,N, ,N,N,5,False
24723,,2023-04-01 00:00:04,2023-04-01 00:14:10,,2.23,,,225,198,,15.18,,1.35,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:13,2023-03-31 23:59:56,846.0,0.46,16.85,N,N, ,N,N,5,False
1526,,2023-04-01 00:00:04,2023-04-01 00:14:20,,4.34,,,168,248,,19.28,,1.71,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:57,2023-03-31 23:58:15,856.0,0.58,20.01,N,N, ,N,N,5,False
18820,,2023-04-01 00:00:04,2023-04-01 00:14:44,,4.35,,,118,221,,19.63,,1.74,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:53:16,2023-03-31 23:58:25,880.0,0.59,14.51,N,N, ,N,N,5,False
30467,,2023-04-01 00:00:04,2023-04-01 00:32:00,,11.57,,,144,95,,53.53,,4.75,9.29,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:52:59,2023-03-31 23:58:03,1916.0,1.61,33.21,N,N, ,N,N,5,False
35008,,2023-04-01 00:00:04,2023-04-01 00:12:37,,2.398,,,37,198,,14.2,,1.26,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:57:49,,753.0,0.43,10.21,N,N,N,N,N,5,False
12781,,2023-04-01 00:00:04,2023-04-01 00:18:30,,3.01,,,234,13,,17.19,,1.53,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:18,2023-03-31 23:59:54,1106.0,0.52,18.45,N,N, ,N,N,5,False
4210,,2023-04-01 00:00:04,2023-04-01 00:06:24,,0.928,,,17,49,,7.75,,0.69,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:51:46,,380.0,0.23,5.47,N,N,N,N,N,5,False
20375,,2023-04-01 00:00:05,2023-04-01 00:05:53,,1.3,,,188,72,,7.9,,0.7,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:39,2023-03-31 23:59:37,348.0,0.24,10.94,N,N, ,N,N,5,False
8405,,2023-04-01 00:00:05,2023-04-01 00:45:44,,20.79,,,132,239,,58.08,,5.96,0.0,6.55,,,2.75,2.5,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:49:03,2023-03-31 23:59:22,2739.0,2.01,53.66,N,N, ,N,N,5,False
31750,,2023-04-01 00:00:05,2023-04-01 00:09:25,,1.99,,,114,233,,17.55,,1.56,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:55:38,2023-03-31 23:59:40,560.0,0.53,13.83,N,N, ,N,N,5,False
37510,,2023-04-01 00:00:05,2023-04-01 00:16:28,,4.7,,,162,166,,27.01,,2.4,10.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:00,2023-03-31 23:58:09,983.0,0.81,15.42,N,N, ,N,N,5,False
11847,,2023-04-01 00:00:05,2023-04-01 00:23:43,,4.89,,,249,236,,30.6,,2.72,7.39,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:35,2023-03-31 23:59:56,1418.0,0.92,24.96,N,N, ,N,N,5,False
36015,,2023-04-01 00:00:05,2023-04-01 00:39:21,,14.421,,,170,91,,55.31,,5.33,0.0,4.8,,,2.75,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:52:15,,2356.0,1.8,41.02,N,N,N,N,N,5,False
